Date,ZoneID,AvgTemperature,Humidity,SpecialEvent,EnergyConsumption
2025-01-01,Z1,26.17,68.14,0,543.37
2025-01-01,Z2,25.81,70.59,0,607.86
2025-01-01,Z3,24.23,73.48,0,589.4
2025-01-01,Z4,23.32,58.61,0,602.83
2025-01-01,Z5,23.15,73.42,0,617.95
2025-01-02,Z1,21.06,70.79,0,542.05
2025-01-02,Z2,24.26,71.3,0,564.64
2025-01-02,Z3,27.24,69.22,0,603.63
2025-01-02,Z4,25.32,64.39,0,606.74
2025-01-02,Z5,26.12,62.55,0,655.93
2025-01-03,Z1,22.86,73.12,1,653.5
2025-01-03,Z2,27.28,62.67,0,551.92
2025-01-03,Z3,24.59,75.69,0,585.53
2025-01-03,Z4,25.79,72.13,0,648.29
2025-01-03,Z5,23.84,69.62,0,599.77
2025-01-04,Z1,27.89,66.22,0,567.34
2025-01-04,Z2,27.31,74.47,0,586.68
2025-01-04,Z3,25.54,74.33,0,628.86
2025-01-04,Z4,25.62,77.21,0,631.37
2025-01-04,Z5,25.57,62.34,0,650.06
2025-01-05,Z1,25.42,71.37,0,550.31
2025-01-05,Z2,27.35,66.59,0,583.42
2025-01-05,Z3,27.69,68.95,0,646.87
2025-01-05,Z4,26.21,67.24,0,637.63
2025-01-05,Z5,25.08,62.61,0,572.71
2025-01-06,Z1,26.72,66.3,0,560.59
2025-01-06,Z2,25.71,71.31,0,569.43
2025-01-06,Z3,28.84,66.07,0,589.38
2025-01-06,Z4,26.15,81.16,0,661.1
2025-01-06,Z5,25.51,66.61,0,628.9
2025-01-07,Z1,28.49,70.27,0,572.41
2025-01-07,Z2,28.97,73.06,0,645.72
2025-01-07,Z3,24.22,67.95,0,623.8
2025-01-07,Z4,27.95,67.1,0,630.48
2025-01-07,Z5,24.08,73.29,0,651.61
2025-01-08,Z1,26.05,67.01,0,544.71
2025-01-08,Z2,28.0,60.85,0,612.97
2025-01-08,Z3,31.45,61.93,0,631.34
2025-01-08,Z4,26.89,72.02,0,665.16
2025-01-08,Z5,24.64,73.45,0,668.35
2025-01-09,Z1,27.13,64.3,0,569.13
2025-01-09,Z2,24.11,76.14,0,611.65
2025-01-09,Z3,24.59,74.34,0,620.83
2025-01-09,Z4,29.08,68.04,0,667.53
2025-01-09,Z5,26.05,65.18,0,656.35
2025-01-10,Z1,26.23,74.81,0,590.26
2025-01-10,Z2,26.18,82.42,0,595.04
2025-01-10,Z3,28.67,66.54,0,619.68
2025-01-10,Z4,26.27,72.3,0,632.25
2025-01-10,Z5,28.19,64.54,0,670.18
2025-01-11,Z1,25.99,73.29,0,588.7
2025-01-11,Z2,27.07,71.08,0,633.96
2025-01-11,Z3,27.0,62.29,0,618.01
2025-01-11,Z4,29.01,61.19,0,662.14
2025-01-11,Z5,27.91,69.66,0,663.09
2025-01-12,Z1,28.79,73.39,0,597.29
2025-01-12,Z2,28.96,69.3,0,587.22
2025-01-12,Z3,24.05,71.78,0,578.83
2025-01-12,Z4,31.68,53.98,0,633.12
2025-01-12,Z5,27.21,63.32,0,637.64
2025-01-13,Z1,25.79,72.61,0,619.31
2025-01-13,Z2,30.91,70.91,1,745.65
2025-01-13,Z3,23.17,72.76,0,581.99
2025-01-13,Z4,23.88,67.26,0,638.79
2025-01-13,Z5,26.27,65.46,0,659.99
2025-01-14,Z1,29.92,66.97,0,626.32
2025-01-14,Z2,24.35,68.23,0,566.5
2025-01-14,Z3,31.13,63.77,0,617.94
2025-01-14,Z4,26.88,61.88,0,649.67
2025-01-14,Z5,30.03,64.32,0,659.6
2025-01-15,Z1,29.88,65.17,0,585.33
2025-01-15,Z2,27.68,70.56,0,605.05
2025-01-15,Z3,30.73,58.09,0,635.71
2025-01-15,Z4,27.7,69.5,1,738.4
2025-01-15,Z5,28.12,63.77,0,670.17
2025-01-16,Z1,26.79,65.1,0,557.41
2025-01-16,Z2,29.52,67.02,0,597.59
2025-01-16,Z3,29.47,68.29,0,618.15
2025-01-16,Z4,27.68,67.91,0,623.86
2025-01-16,Z5,30.04,72.72,0,677.0
2025-01-17,Z1,30.5,64.61,0,588.4
2025-01-17,Z2,29.59,64.05,1,692.58
2025-01-17,Z3,28.08,69.9,0,588.58
2025-01-17,Z4,26.99,74.03,0,620.06
2025-01-17,Z5,29.13,69.01,0,657.1
2025-01-18,Z1,28.03,56.52,0,592.7
2025-01-18,Z2,26.4,66.99,0,597.45
2025-01-18,Z3,30.76,62.07,0,634.33
2025-01-18,Z4,27.11,69.05,0,658.05
